qiskit,shp_reduced,multiedge,qiskit_dense,mhs_nonlinear,merging_states,mhs_nonlinear_alt,mhs_multi,test
26,550,290,26,242,300,212,114.0,
26,466,329,26,232,299,250,58.0,
26,612,383,26,230,302,235,86.0,
26,512,286,26,260,297,209,72.0,
26,535,344,26,231,327,220,92.0,
26,457,343,26,232,299,222,80.0,
26,538,346,26,245,299,234,54.0,
26,524,278,26,226,325,234,81.0,
26,459,292,26,243,299,246,75.0,
26,458,312,26,245,301,206,87.0,
26,536,366,26,230,301,222,77.0,
26,442,284,26,231,301,214,76.0,
26,493,299,26,246,302,228,83.0,
26,481,323,26,242,298,231,82.0,
26,450,340,26,242,299,237,104.0,
26,526,291,26,246,300,222,94.0,
26,496,330,26,243,299,222,82.0,
26,470,299,26,229,298,248,63.0,
26,483,295,26,275,299,237,76.0,
26,575,298,26,248,299,248,97.0,
26,513,405,26,246,298,254,103.0,
26,450,295,26,261,298,209,82.0,
26,544,242,26,231,300,242,68.0,
26,525,286,26,241,302,271,101.0,
26,452,323,26,246,300,231,103.0,
26,484,310,26,245,299,248,82.0,
26,533,325,26,244,301,208,68.0,
26,534,293,26,228,303,231,86.0,
26,464,335,26,228,299,227,103.0,
26,527,324,26,241,302,238,97.0,
26,449,367,26,246,298,253,114.0,
26,548,296,26,242,321,238,64.0,
26,581,325,26,263,301,226,67.0,
26,488,256,26,230,325,232,55.0,
26,484,333,26,212,297,218,90.0,
26,467,282,26,230,299,207,66.0,
26,442,295,26,245,299,227,66.0,
26,478,296,26,261,298,251,92.0,
26,449,335,26,260,296,232,109.0,
26,472,337,26,243,326,217,92.0,
26,491,308,26,259,300,237,89.0,
26,544,327,26,214,303,238,71.0,
26,560,306,26,243,302,215,66.0,
26,474,306,26,240,299,252,86.0,
26,473,292,26,244,322,234,103.0,
26,479,287,26,211,299,217,78.0,
26,454,334,26,245,301,253,87.0,
26,489,351,26,260,297,231,71.0,
26,433,373,26,229,298,232,105.0,
26,415,303,26,227,294,218,106.0,
26,424,376,26,262,301,229,114.0,
26,419,292,26,234,300,233,66.0,
26,433,319,26,227,298,226,69.0,
26,532,293,26,243,297,234,93.0,
26,467,322,26,227,303,207,94.0,
26,551,339,26,215,301,216,100.0,
26,466,301,26,214,295,248,88.0,
26,452,301,26,227,299,254,75.0,
26,465,321,26,260,297,242,79.0,
26,494,291,26,243,297,236,105.0,
26,488,294,26,230,298,211,92.0,
26,454,324,26,260,300,215,114.0,
26,522,311,26,244,326,218,118.0,
26,502,288,26,247,303,265,99.0,
26,406,318,26,244,297,207,119.0,
26,475,300,26,226,297,230,83.0,
26,484,348,26,275,298,265,111.0,
26,557,292,26,243,297,212,121.0,
26,537,358,26,227,325,243,62.0,
26,445,318,26,245,300,234,81.0,
26,458,289,26,241,301,217,140.0,
26,475,379,26,211,298,235,78.0,
26,534,289,26,247,299,208,76.0,
26,477,375,26,214,325,237,81.0,
26,442,316,26,243,301,217,59.0,
26,478,319,26,217,324,246,104.0,
26,473,338,26,214,298,218,90.0,
26,542,316,26,256,300,217,112.0,
