qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst
22,120,27,12,23,117,118
21,125,14,12,8,117,118
22,126,29,12,8,118,114
22,119,13,8,14,116,122
22,123,18,14,14,120,129
22,122,16,8,10,115,122
22,118,22,8,6,114,111
22,124,12,14,12,121,124
14,119,11,6,10,113,114
22,123,18,8,18,117,123
22,123,16,12,12,119,122
16,116,10,10,9,114,116
22,116,10,6,10,114,116
22,122,16,14,22,117,122
22,121,15,10,16,114,121
22,118,17,4,11,115,120
22,126,19,12,8,118,114
21,126,22,16,18,119,123
22,119,12,12,12,117,116
22,117,14,6,14,115,117
22,117,12,10,7,114,114
22,122,16,13,27,118,116
22,120,25,12,20,120,119
22,123,16,10,14,115,117
20,123,16,14,10,117,116
22,119,12,6,10,113,119
18,115,14,12,16,114,116
22,119,16,10,26,117,117
22,117,14,12,14,115,117
22,121,12,12,10,115,118
22,115,12,12,11,116,117
20,116,12,10,10,115,116
18,117,14,6,14,114,117
22,118,10,6,13,115,118
20,118,14,10,14,115,123
22,114,10,8,9,114,116
21,117,14,8,14,115,117
22,121,19,14,16,118,118
22,122,9,14,10,118,116
22,116,10,8,9,114,114
22,122,27,23,20,119,120
22,120,14,12,10,118,123
22,119,11,6,10,114,119
20,126,20,18,21,121,122
22,117,14,6,14,114,117
21,131,26,12,12,117,121
22,118,15,10,10,116,117
22,126,20,16,18,123,119
22,121,16,8,20,116,120
22,126,20,14,24,119,124
22,117,4,6,10,114,122
22,122,25,6,23,113,118
21,124,19,10,14,116,117
22,122,27,12,20,119,118
22,121,23,10,13,116,117
20,119,10,16,14,119,121
20,124,10,14,12,118,121
22,121,12,8,12,117,122
22,127,22,12,16,116,119
21,122,15,8,12,113,119
21,126,20,12,17,117,121
22,122,17,10,14,116,117
22,118,4,6,4,113,118
18,124,18,10,12,116,116
22,117,6,4,4,113,115
18,121,18,10,16,115,121
22,126,10,12,22,121,128
21,121,25,14,8,119,120
22,119,15,8,15,116,119
22,120,14,12,16,117,122
22,117,14,8,14,114,117
20,121,16,14,14,119,122
22,123,16,12,14,116,117
22,123,8,8,8,116,123
20,121,16,12,16,117,125
22,120,21,10,10,114,117
22,120,25,10,12,117,119
18,117,12,12,17,116,118
22,117,12,10,9,114,114
16,118,20,10,4,115,115
21,117,22,6,22,115,117
21,122,18,12,14,115,117
22,119,17,4,4,112,119
22,126,22,14,16,120,120
22,117,10,12,25,117,123
18,127,21,10,12,116,117
22,117,12,10,13,116,117
22,118,6,8,13,114,122
22,125,18,10,12,117,118
22,123,16,12,20,118,122
20,125,18,12,12,116,118
22,120,5,8,8,115,119
20,117,10,10,10,113,113
22,121,14,8,19,116,122
22,117,12,12,24,117,118
16,118,10,8,10,114,113
22,122,27,12,20,119,118
20,122,16,10,14,115,116
20,119,16,12,20,115,121
22,124,18,14,14,118,118
22,120,12,10,18,117,123
21,122,18,12,14,115,118
20,119,24,8,4,114,117
16,114,8,6,8,113,114
20,123,16,12,14,116,122
22,117,14,14,23,117,117
22,122,26,14,18,118,120
22,120,23,8,24,115,121
22,121,12,12,10,115,118
18,120,15,14,16,117,120
22,124,18,12,10,118,117
22,124,18,18,12,121,121
22,117,14,6,14,114,117
22,128,20,14,18,120,121
20,122,16,14,16,121,121
17,118,16,14,14,119,120
18,117,14,14,20,115,117
22,119,13,8,14,116,122
22,121,14,14,14,119,120
22,129,33,10,10,115,116
22,122,27,6,14,116,117
18,122,16,10,14,114,123
21,125,31,8,12,113,118
22,120,16,10,10,114,114
22,118,12,8,12,112,118
