qiskit,shp_reduced,multiedge,qiskit_dense
502,3298,3836,2255
502,3081,3860,3156
502,2941,3328,2555
502,2882,3439,2274
502,2945,3494,2601
502,2748,3389,2429
502,3019,3882,2275
502,3342,3859,2637
502,3114,3837,2682
502,3050,3453,2388
502,2916,3405,2384
502,3306,3642,2494
502,2766,3574,2737
502,3092,3447,2738
502,3103,3490,2960
502,2862,3846,2567
502,2822,3572,2522
502,2887,3614,2251
502,2712,3882,2838
502,2770,3639,2177
502,3205,3475,2592
502,3073,3385,2313
502,3257,3747,2845
502,3255,3644,2440
502,2848,3433,2015
502,2958,3508,2362
502,3033,3766,2537
502,2939,3460,3103
502,2861,3564,3101
502,3133,3629,2684
502,2982,3583,2189
502,2918,3709,2859
502,3021,3401,2073
502,2880,3701,2020
502,2885,3553,2357
502,3054,3488,2670
502,2989,3702,2661
502,3144,3705,2456
502,3010,3817,2374
502,2768,3730,2520
502,2887,3664,2293
502,3139,3676,2446
502,3049,3791,3213
502,2898,3593,2543
502,3120,3530,2993
502,2974,3969,2502
502,2863,3601,2702
502,3284,3730,2790
502,2932,3392,2203
502,2929,3678,2657
502,3010,3736,2381
502,2874,3645,2121
502,2885,3752,2415
502,2824,3408,2471
502,3078,3332,2979
502,3109,3618,2830
502,2940,3456,2448
502,3131,4107,2410
502,3192,3453,2386
502,3099,3775,2684
502,2780,3637,2753
502,3029,3589,2135
502,2905,3665,2548
502,2808,3681,2910
502,3150,3767,2622
502,3128,3541,2636
502,2703,3623,2271
502,2883,3670,2919
502,3136,3731,2005
502,2959,3770,2414
502,3199,3435,2275
502,3139,3946,2417
502,2948,3398,2149
502,3014,3990,2387
502,3143,3251,2388
502,2819,3925,2222
502,2800,3752,2761
502,2936,3821,2870
502,3139,3544,2388
502,2886,3384,2936
502,2856,3958,2972
502,2906,3985,2742
502,2736,3797,2652
502,2866,3467,2780
502,2634,3711,2531
502,3029,3418,2439
502,2883,3540,2699
502,3141,3656,2403
502,2983,3789,2176
502,3293,3581,2766
502,3266,3627,2462
502,3293,3909,2209
502,3128,3725,2245
502,2902,3293,2022
502,3138,3249,2709
502,2742,3504,2280
502,3125,3864,2429
502,2947,3366,2874
502,2866,3992,2530
502,3103,3544,2811
502,3149,3467,2536
502,3036,3577,2469
502,3185,3602,2076
502,3119,3512,2593
502,2986,3966,2565
502,3303,3757,2772
502,3163,3667,2367
502,3138,3639,2712
502,3024,3631,2683
502,3121,3568,2449
502,2972,3763,2681
502,3086,3737,2626
502,2902,3888,2608
502,2737,3730,2395
502,3158,3460,2540
502,2924,3643,2446
502,3095,3849,2265
502,2925,3398,2190
502,3007,3766,2729
502,3007,3438,2094
502,3184,3912,2707
502,2886,3829,2621
502,3015,3706,3337
502,3068,3645,2649
502,3225,3692,2457
502,2723,3846,2944
502,3051,3661,2141
502,3300,3619,2366
502,2564,3798,2650
502,2955,3753,3102
502,3072,4178,2456
502,3110,3956,2743
502,3119,3505,2488
502,2917,3623,2722
502,2738,3724,2489
502,2982,3361,2363
502,3056,3742,2163
502,3080,3378,2738
502,2925,3735,2379
502,2930,3433,2717
502,2885,3880,2277
502,2850,3472,2079
502,2951,3651,2536
502,2999,3764,2960
502,3123,3370,3104
502,2963,3609,2632
502,2984,3791,2681
502,2907,3378,2646
502,3085,3840,2605
502,3136,3777,2712
502,3015,3889,2270
502,2875,3708,3064
502,2944,3799,2232
502,3019,3944,2749
502,2970,3683,2734
