qiskit,gleinig
2036,69820
2036,69569
2036,69523
2036,69438
2036,68849
2036,69304
2036,69780
2036,69494
2036,69295
2036,68895
2036,69803
2036,69596
2036,69054
2036,69018
2036,70129
2036,69458
2036,68784
2036,69488
2036,68860
2036,70051
2036,69204
2036,69428
2036,68415
2036,69141
2036,68715
2036,69417
2036,70041
2036,69659
2036,68929
2036,69323
2036,69368
2036,69800
2036,68815
2036,68770
2036,69272
2036,68604
2036,70177
2036,70354
2036,68611
2036,69045
2036,68733
2036,69029
2036,68454
2036,69927
2036,69683
2036,69468
2036,69136
2036,68797
2036,69910
2036,69755
2036,69664
2036,68955
2036,69212
2036,69533
2036,69709
2036,69466
2036,69289
2036,69324
2036,69374
2036,70057
2036,69096
2036,69545
2036,69740
2036,70060
2036,68639
2036,69659
2036,70516
2036,68698
2036,69806
2036,69646
2036,69216
2036,69113
2036,69158
2036,69499
2036,68891
2036,67923
2036,69113
2036,69799
2036,68961
2036,70075
2036,69140
2036,68880
2036,69406
2036,68988
2036,68734
2036,69695
2036,68283
2036,69214
2036,69061
2036,69536
2036,68927
2036,69150
2036,70197
2036,69208
2036,69764
2036,69452
2036,69227
2036,68874
2036,69012
2036,69443
2036,69416
2036,69185
2036,69264
2036,69209
2036,69569
2036,68859
2036,68667
2036,68528
2036,69278
2036,69366
2036,69477
2036,69573
2036,69102
2036,70003
2036,70500
2036,69295
2036,69430
2036,69474
2036,69948
2036,70158
2036,69925
2036,70231
2036,68796
2036,69360
2036,68633
2036,68872
2036,69087
2036,69948
2036,69742
2036,69466
2036,69298
2036,68559
2036,69595
2036,68438
2036,69440
2036,69211
2036,69228
2036,69344
2036,68845
2036,69855
2036,69223
2036,68489
2036,69444
2036,70274
2036,69256
2036,68212
2036,69212
2036,70105
2036,69812
2036,68988
2036,69092
2036,69407
2036,69381
2036,69801
2036,69687
2036,68590
2036,69133
2036,69972
2036,70567
2036,68727
2036,70144
2036,69174
2036,69260
2036,69047
2036,68941
2036,70230
2036,69596
2036,68500
2036,69346
2036,69242
2036,69497
2036,69152
2036,68796
2036,68889
2036,68714
2036,68944
2036,69090
2036,68851
2036,70114
2036,68771
2036,69673
2036,69087
2036,69699
2036,69366
2036,69022
2036,70058
2036,69480
2036,69844
2036,70067
2036,70533
2036,68076
2036,68535
2036,70191
2036,69432
2036,69938
2036,69223
2036,69340
2036,69497
2036,68915
2036,69099
2036,68957
2036,69711
2036,69831
2036,68615
2036,68658
2036,68959
2036,69203
2036,69378
2036,69170
2036,69851
2036,68915
2036,68910
2036,69758
2036,69531
2036,70583
2036,69533
2036,69852
2036,68732
2036,69487
2036,69571
2036,67562
2036,68871
2036,68518
2036,70012
2036,68509
2036,68883
2036,69837
2036,69690
2036,69499
2036,69350
2036,69724
2036,69571
2036,69698
2036,70080
2036,69858
2036,70019
2036,69329
2036,69199
2036,68774
2036,69210
2036,69440
2036,69300
2036,70136
2036,68819
2036,69320
2036,68281
2036,69592
2036,69359
2036,68236
2036,68561
2036,70628
2036,69894
2036,70040
2036,68953
2036,69254
2036,69293
2036,69125
2036,68908
2036,69198
2036,70518
2036,69369
2036,69799
2036,69128
2036,69364
2036,68577
2036,68750
2036,68278
2036,69454
2036,68609
2036,69247
2036,70623
2036,69364
2036,69562
2036,69429
2036,68742
2036,69788
2036,69030
2036,70087
2036,69205
2036,69428
2036,69129
2036,69591
2036,68980
2036,69389
2036,68459
2036,68874
2036,68522
2036,68903
2036,69596
2036,69241
2036,69873
2036,68804
2036,69489
2036,69461
2036,69657
2036,69300
2036,68858
2036,68759
2036,69588
2036,67944
2036,69102
2036,69073
2036,70005
2036,69901
2036,68413
2036,69793
2036,69733
2036,69310
2036,68929
2036,68601
2036,68427
2036,70298
2036,69927
2036,69993
2036,68820
2036,69721
2036,69579
2036,69597
2036,69082
2036,69405
2036,69360
2036,69345
2036,69438
2036,69400
2036,68903
2036,70246
2036,70104
2036,69303
2036,70013
2036,68797
2036,68841
2036,69546
2036,68738
2036,68979
2036,69400
2036,69816
2036,69428
2036,69501
2036,70470
2036,69495
2036,69110
2036,68891
2036,69354
2036,69514
2036,69069
2036,69008
2036,68294
2036,69410
2036,69109
2036,69453
2036,68732
2036,68355
2036,69246
2036,69465
2036,69121
2036,69892
2036,69636
2036,68597
2036,69250
2036,69725
2036,69684
2036,68275
2036,68770
2036,69342
2036,70272
2036,70188
2036,69298
2036,68982
2036,69318
2036,69847
2036,70293
2036,70527
2036,68253
2036,68705
2036,68410
2036,69569
2036,69942
2036,69240
2036,69104
2036,69751
2036,69688
2036,69587
2036,68652
2036,69162
2036,70052
2036,69021
2036,68149
2036,68872
2036,69055
2036,69233
2036,69875
2036,69056
2036,69399
2036,69700
2036,69106
2036,68381
2036,68963
2036,69086
2036,69680
2036,70258
2036,69647
2036,69674
2036,69504
2036,68994
2036,70354
2036,69331
2036,69318
2036,68666
2036,69795
2036,68894
2036,69964
2036,69554
2036,68476
2036,69955
2036,69229
2036,69170
2036,68502
2036,68386
2036,70010
2036,69118
2036,69169
2036,68978
2036,69442
2036,68977
2036,69978
2036,69439
2036,68876
2036,69362
2036,69450
2036,68979
2036,69684
2036,68732
2036,69502
2036,68965
2036,69192
2036,69359
2036,69704
2036,69461
2036,70499
2036,69810
2036,68864
2036,69573
2036,68776
2036,69397
2036,68461
2036,69746
2036,69377
2036,69549
2036,68912
2036,69266
2036,69677
2036,68562
2036,68591
2036,69539
2036,68955
2036,69084
2036,69005
2036,70337
2036,69619
2036,70426
2036,69277
2036,70084
2036,69896
2036,69870
2036,69725
2036,69853
2036,69466
2036,68224
2036,70142
2036,69467
2036,70379
2036,68817
2036,68876
2036,69019
2036,69442
2036,69303
2036,69594
2036,69765
2036,68515
2036,69406
2036,69386
2036,69652
2036,70561
2036,68861
2036,69113
2036,69031
2036,69614
2036,70040
2036,68978
2036,69003
2036,69550
2036,69251
2036,69520
2036,68724
2036,69184
2036,68964
2036,70159
2036,68811
2036,68995
2036,69104
2036,69398
2036,69435
2036,68748
2036,68410
2036,69266
2036,68432
2036,69158
2036,69246
2036,69741
2036,70070
2036,69539
2036,69214
2036,69059
2036,70288
2036,67825
2036,69638
2036,68924
2036,69595
2036,68519
2036,69880
2036,69379
2036,69356
2036,69070
2036,69388
2036,69402
2036,69368
2036,70048
2036,69950
2036,69480
2036,69279
2036,68679
2036,68717
2036,68853
2036,69714
2036,69152
2036,68027
2036,69076
2036,68314
2036,69505
2036,68973
2036,69151
2036,70395
2036,68692
2036,69026
2036,70140
2036,68582
2036,69786
2036,69463
2036,69471
2036,69712
2036,69189
2036,68712
2036,69597
2036,69671
2036,69047
2036,70171
2036,69919
2036,69363
2036,69763
2036,68639
2036,69941
2036,70064
2036,69249
2036,69599
2036,70624
2036,69595
2036,68760
2036,69023
2036,68718
2036,69864
2036,70644
2036,68297
2036,68673
2036,69401
2036,68764
2036,69793
2036,68049
2036,69020
2036,68859
2036,69844
2036,69257
2036,69702
2036,69203
2036,69288
2036,69041
2036,69393
2036,69140
2036,69606
2036,70090
2036,70133
2036,69366
2036,69999
2036,69559
2036,68956
2036,68551
2036,69454
2036,69381
2036,70132
2036,70054
2036,69819
2036,69665
2036,68518
2036,69307
2036,69225
2036,68674
2036,69210
2036,69548
2036,68794
2036,69425
2036,69660
2036,69835
2036,68498
2036,69392
2036,69872
2036,68384
2036,68938
2036,68872
2036,68490
2036,69218
2036,68696
2036,69154
2036,70140
2036,70017
2036,69535
2036,69148
2036,69400
2036,68936
2036,69236
2036,69806
2036,69272
2036,70291
2036,68796
2036,69269
2036,68261
2036,68699
2036,69056
2036,69190
2036,69836
2036,68521
2036,69668
2036,70802
2036,69005
2036,69930
2036,69523
2036,69728
2036,69574
2036,69177
2036,70227
2036,68416
2036,70018
2036,68549
2036,69351
2036,69174
2036,67876
2036,69645
2036,69742
2036,68264
2036,69726
2036,69919
2036,68879
2036,70093
2036,69903
2036,69136
2036,69204
2036,69436
2036,69191
2036,69219
2036,68988
2036,69337
2036,69463
2036,68349
2036,68750
2036,70246
2036,69458
2036,69328
2036,69866
2036,68368
2036,69180
2036,69141
2036,68685
2036,68839
2036,69658
2036,68375
2036,69970
2036,69384
2036,69335
2036,69152
2036,70014
2036,69076
2036,69841
2036,68477
2036,70417
2036,69492
2036,68766
2036,69353
2036,68428
2036,69249
2036,69071
2036,69007
2036,68998
2036,68639
2036,69434
2036,69048
2036,69159
2036,69649
2036,69386
2036,69785
2036,69590
2036,70014
2036,69273
2036,69397
2036,69479
2036,69825
2036,69228
2036,69768
2036,69638
2036,69670
2036,70115
2036,68833
2036,69146
2036,69687
2036,69204
2036,68646
2036,68498
2036,68864
2036,69972
2036,69285
2036,69895
2036,69049
2036,68884
2036,68848
2036,69357
2036,69800
2036,68794
2036,69503
2036,69272
2036,69377
2036,69488
2036,69724
2036,69116
2036,69206
2036,69690
2036,68569
2036,68960
2036,68971
2036,70042
2036,69062
2036,68896
2036,69166
2036,69228
2036,69701
2036,69366
2036,69474
2036,68989
2036,69487
2036,68995
2036,68009
2036,68835
2036,69602
2036,68890
2036,69454
2036,68659
2036,68640
2036,69943
2036,69030
2036,69484
2036,69460
2036,69682
2036,69392
2036,69187
2036,68716
2036,69135
2036,69936
2036,69184
2036,69275
2036,70076
2036,68736
2036,68973
2036,70465
2036,69406
2036,69387
2036,69054
2036,69884
2036,68674
2036,69819
2036,69275
2036,69509
2036,69791
2036,69870
2036,68851
2036,69179
2036,69657
2036,69097
2036,68921
2036,69208
2036,70111
2036,69786
2036,69900
2036,68807
2036,69893
2036,69786
2036,69834
2036,69669
2036,70230
2036,68496
2036,69325
2036,69048
2036,69527
2036,70016
