qiskit,shp_reduced,qiskit_dense,multiedge
2026,3927,4972,4777
2026,4533,5201,5317
2026,3977,5436,5138
2026,4303,5926,4999
2026,3862,5269,5231
2026,4077,5087,5288
2026,4324,5110,4720
2026,4182,5533,5184
2026,4414,5119,4997
2026,3931,5299,5497
2026,4113,5044,4969
2026,4183,5530,5323
2026,3964,5603,5172
2026,4125,5106,5031
2026,4107,5338,5442
2026,4311,5499,4619
2026,4106,5484,4812
2026,3946,5424,5140
2026,4225,5240,5244
2026,4402,5583,5070
2026,3771,5575,5461
2026,3960,5472,5180
2026,4086,5267,5120
2026,3977,5820,4830
2026,4342,5131,5338
2026,3946,5221,5406
2026,4331,5746,4955
2026,3879,5651,5067
2026,4285,5104,5005
2026,4293,5142,5685
2026,3878,5326,4874
2026,4159,5002,5579
2026,4057,5167,5456
2026,4171,5633,4795
2026,4024,5445,5131
2026,3918,4855,5513
2026,3938,5895,5075
2026,3981,5484,5484
2026,3723,5279,5168
2026,4100,5394,5256
2026,4268,5800,5065
2026,3961,6087,4906
2026,3931,5297,5418
2026,3882,5377,5253
2026,3991,5466,4971
2026,4043,5206,5555
2026,4396,5452,4811
2026,4113,5084,4996
2026,3908,5667,5130
2026,3953,5034,5475
2026,3728,5486,5525
2026,4037,5621,5481
2026,4090,5436,4891
2026,4172,5179,5359
2026,4176,5549,5204
2026,3632,5506,5531
2026,4407,5521,4967
2026,4271,5649,5053
2026,4197,5168,5465
2026,3983,5533,5124
2026,4152,5407,5171
2026,4212,5704,4951
2026,4010,5738,4882
2026,4161,5460,4843
2026,3912,5083,5154
2026,3755,5500,5219
2026,4045,5078,5338
2026,3999,5718,4963
2026,3996,5329,5164
2026,3912,5445,5096
2026,3709,5312,5179
2026,4164,5142,5353
2026,4374,5438,5499
2026,3945,5480,5516
2026,3858,5443,5208
2026,4260,5182,5076
2026,4115,5248,4831
2026,4114,5279,5306
2026,4036,5536,4849
2026,4616,5715,5353
2026,4078,5576,4925
2026,4008,5282,5420
2026,4354,5556,5312
2026,4113,5202,4823
2026,4311,5552,5257
2026,4033,5703,5360
2026,4135,5271,5353
2026,4028,5302,5084
2026,4083,5259,4792
2026,3929,4931,5011
2026,3649,5585,5543
2026,4014,5505,5456
2026,4168,4875,5258
2026,4101,5092,4952
2026,3834,5440,5364
2026,4035,5356,5161
2026,4123,5583,5322
2026,3963,5223,4948
2026,3955,5599,5030
2026,4074,5188,5169
2026,4058,5396,5260
2026,4009,5157,4992
2026,3923,5531,5202
2026,4466,5368,5261
2026,3561,5014,5141
2026,3921,5455,5082
2020,4425,5305,5253
2026,3740,5228,5285
2026,4170,5698,5223
2026,3969,5425,4965
2026,3892,5506,5190
2026,4242,5075,5235
2026,4330,5580,5249
2026,3948,5463,5202
2026,4076,5305,5205
2026,3834,5178,5099
2026,4064,5285,4862
2026,4107,5151,5101
2026,4255,5902,5299
2026,3861,5231,4967
2026,4175,5440,5073
2026,4189,5237,5188
2026,4310,5113,5276
2026,4061,5789,5253
2026,3988,5562,4888
2026,4175,6374,5031
2026,4296,5667,5355
2026,4291,5562,4861
2026,3744,5177,5499
2026,4426,5158,5135
2026,3991,5625,5260
2026,4154,5373,4897
2026,4021,5261,5296
2026,4506,5608,5343
