qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,random,random_reduced,graycode_reduced,gleinig,gleinig_qwalk,btree_qwalk,greedy_linear,hamming_weight_qwalk,greedy_insertion,brute_force_linear,greedy_tree
120,755,58,36,36,741,741,756,68,53,23,34,49,30,46,30,26,36
120,751,53,52,57,747,746,758,50,41,25,47,65,36,46,38,21,38
120,751,56,41,46,747,743,759,60,45,24,40,38,50,52,33,33,42
120,747,33,42,55,747,740,750,43,54,26,47,49,38,49,23,23,45
120,754,47,43,43,747,744,762,58,40,29,38,52,31,37,31,28,30
120,740,62,36,48,741,734,756,121,45,20,43,92,24,62,18,17,23
120,748,41,37,26,742,740,747,93,54,27,42,57,38,53,30,20,28
114,753,55,48,47,745,744,760,82,57,19,31,48,37,59,33,24,31
120,748,38,35,31,740,738,750,77,40,20,25,34,45,59,17,19,25
120,756,58,48,52,747,743,758,75,54,22,41,47,41,44,43,24,38
120,743,44,31,45,741,738,753,83,64,32,45,76,43,46,30,23,23
120,748,53,33,33,738,737,749,64,26,18,32,23,46,66,36,21,29
120,761,65,45,39,742,742,760,64,47,41,46,85,43,37,25,27,46
120,758,62,35,42,744,742,766,64,62,32,47,51,34,35,35,24,30
120,751,54,48,35,742,738,759,57,37,21,44,48,41,92,32,23,28
120,747,43,52,53,748,746,758,63,45,29,38,42,43,42,25,26,38
120,751,75,49,45,748,741,760,69,64,22,52,81,50,41,33,26,38
112,747,52,35,37,739,738,750,79,48,24,38,55,35,42,30,23,32
118,744,56,33,54,740,740,756,63,68,23,33,53,33,64,28,30,43
120,747,33,26,32,739,737,749,52,49,19,32,74,28,42,29,20,26
120,757,71,37,44,742,740,756,71,36,29,55,55,30,41,24,24,33
120,758,61,47,51,748,748,756,72,54,32,42,66,45,78,32,26,39
120,754,59,43,54,750,742,764,45,51,28,49,61,42,56,34,26,38
120,752,68,40,51,745,746,757,83,40,20,35,31,47,65,36,25,36
120,749,54,43,70,747,742,758,72,52,23,36,66,44,59,43,29,31
120,747,36,36,67,746,740,755,90,33,25,29,47,37,57,29,22,33
120,756,59,35,26,740,740,757,72,45,17,39,26,48,56,31,23,34
120,754,68,37,40,746,743,749,55,41,28,48,62,43,69,33,31,35
120,744,36,37,38,743,737,752,71,35,16,51,33,24,33,18,16,20
120,747,43,54,42,749,744,759,66,62,29,50,52,43,40,31,26,42
120,753,47,28,47,742,743,756,63,41,19,36,34,27,56,33,25,36
90,748,39,48,51,742,737,746,62,37,26,34,54,52,34,28,27,38
120,749,64,28,46,741,739,754,58,39,24,35,43,39,45,20,23,33
120,742,35,31,50,738,733,740,56,75,23,31,59,33,35,26,25,30
