qiskit,mhs_linear,mhs_nonlinear,merging_states
2036,3211,2645,2705
2036,3139,2475,2563
2036,3130,2605,2724
2036,3071,2940,2718
2036,4195,2994,2556
2036,3261,2565,2672
2036,3276,2790,2713
2036,3092,2600,2780
2036,2986,2499,2601
2036,3019,2706,2856
2036,3151,2521,2671
2036,3142,2556,2670
2036,2892,2482,2721
2036,3001,2655,2661
2036,3348,2576,2893
2036,3079,2513,2820
2036,3105,2743,2805
2036,3510,2643,2862
2036,3545,2452,2634
2036,2862,2859,2848
2036,3107,2635,2624
2036,3115,2598,2797
2036,3134,2566,2706
2036,3516,2683,2794
2036,3155,2623,2830
2036,3525,2498,2570
2036,3369,2763,2732
2036,3527,2592,2717
2036,3196,2620,2718
2036,3522,2935,2817
2036,2840,2715,2729
2036,3755,2677,2719
2036,2905,2369,2841
2036,3259,2577,2796
2036,3735,2647,2824
2036,3592,2759,2733
2036,3501,2607,2696
2036,3360,2613,2808
2036,3433,2583,2725
2036,3424,2327,2587
2036,3304,2794,2850
2036,3536,2729,2707
2036,3163,2647,2788
2036,3577,2440,2572
2036,3829,2618,2472
2036,3139,2636,2735
2036,3205,2937,2763
2036,3932,2561,2662
2036,3075,2796,2655
2036,2738,2644,2713
2036,3526,2673,2649
2036,2803,2800,2762
2036,2823,2599,2778
2036,2984,2889,2814
2036,3315,2614,2654
2036,2695,2518,2769
2036,2991,2520,2770
2036,2897,2778,2783
2036,2903,2400,2668
2036,3296,2617,2777
2036,3065,2545,2823
