qiskit,shp_reduced,multiedge,qiskit_dense,mhs_nonlinear,merging_states,mhs_nonlinear_alt,mhs_multi
120,1418,1347,681,645,715,638,
120,1536,1641,637,623,733,635,
120,1375,1269,781,665,791,648,
120,1459,1389,809,598,726,568,
120,1310,1381,588,672,732,654,
120,1300,1285,641,595,703,578,
120,1450,1361,1092,638,758,631,
120,1543,1496,691,594,706,586,
120,1415,1475,717,704,758,612,
120,1272,1565,737,639,753,658,
120,1359,1394,732,622,785,636,
120,1472,1370,891,680,754,673,
120,1555,1244,792,594,707,619,
120,1411,1709,717,656,728,632,
120,1425,1273,736,631,718,625,
120,1488,1709,790,663,747,617,
120,1259,1758,1064,627,803,607,
120,1255,1375,802,667,736,648,
120,1285,1491,627,634,761,585,
120,1369,1630,790,680,756,638,
120,1588,1512,736,663,735,653,
120,1546,1504,609,619,732,671,
120,1480,1392,911,661,781,621,
120,1216,1444,871,649,720,660,
120,1376,1390,766,673,745,605,
120,1287,1348,647,684,729,684,
120,1469,1483,710,659,775,561,
120,1409,1569,774,620,709,622,
120,1725,1451,744,648,729,591,
120,1585,1439,905,618,781,589,
120,1422,1587,762,654,767,627,
120,1376,1552,672,629,769,634,
120,1308,1389,762,645,735,679,
120,1330,1541,740,622,756,593,
120,1563,1311,799,651,705,617,
120,1386,1522,727,614,720,632,
120,1504,1650,890,625,765,632,
120,1258,1551,995,625,792,622,
120,1333,1481,517,645,716,534,
120,1539,1442,827,671,741,613,
120,1447,1478,812,650,753,634,
120,1439,1315,941,663,735,657,
120,1446,1328,654,611,737,681,
120,1436,1384,749,651,752,595,
120,1257,1468,530,580,681,615,
120,1362,1418,804,627,728,659,
120,1482,1646,836,641,730,608,
120,1443,1507,1150,621,763,584,
120,1578,1251,790,590,713,657,
120,1490,1426,922,631,725,638,
120,1497,1268,691,613,712,606,
120,1518,1300,638,626,746,646,
120,1371,1329,885,707,768,618,
120,1513,1556,762,636,765,602,
120,1441,1332,906,591,741,612,
120,1460,1298,566,551,731,591,
120,1408,1431,722,624,687,672,
120,1447,1545,977,653,761,641,
120,1389,1556,616,564,687,624,
120,1472,1455,711,622,745,627,
120,1356,1746,1122,709,784,665,
120,1441,1402,705,706,732,670,
120,1537,1535,802,635,712,632,
120,1586,1275,737,705,731,558,
120,1286,1496,1034,682,777,623,
120,1524,1527,867,711,740,628,
120,1548,1349,740,643,742,586,
120,1512,1301,750,631,754,649,
120,1316,1500,701,603,685,521,
120,1371,1401,738,612,761,635,
120,1534,1372,586,623,690,637,
120,1371,1369,865,635,729,617,
120,1308,1515,659,653,708,616,
120,1433,1680,861,654,757,668,
120,1504,1366,1036,661,678,677,
120,1397,1485,933,555,729,619,
120,1389,1427,669,638,692,640,
120,1529,1389,480,623,716,603,
120,1562,1353,727,626,725,607,
120,1511,1343,959,595,712,567,
120,1429,1468,731,593,689,654,
120,1441,1433,743,688,764,705,
120,1514,1344,788,661,725,651,
120,1446,1306,619,655,809,669,
120,1401,1448,1089,658,734,653,
120,1447,1374,932,648,684,618,
120,1522,1317,818,676,771,618,
120,1267,1289,918,630,806,620,
120,1389,1262,910,613,772,622,
120,1435,1559,793,605,753,588,
120,1363,1283,1046,620,701,654,
120,1512,1458,875,653,748,648,
120,1355,1460,524,688,722,679,
120,1465,1551,833,669,759,606,
120,1166,1324,514,624,756,570,
120,1313,1402,988,637,758,664,
120,1302,1495,995,629,754,613,
120,1296,1427,927,620,732,581,
120,1399,1375,670,675,706,660,
120,1238,1543,876,691,756,664,
120,1364,1384,719,621,706,590,
120,1653,1383,780,673,782,598,
120,1670,1401,635,668,740,593,
120,1382,1252,617,629,729,636,
120,1389,1565,839,596,726,589,
120,1494,1381,886,637,829,682,
120,1241,1275,713,600,755,679,
120,1262,1449,831,650,716,669,
120,1245,1443,846,677,741,586,
120,1257,1345,489,642,710,636,
120,1466,1457,923,694,813,721,
120,1452,1404,762,643,726,631,
120,1393,1385,899,653,792,687,
120,1615,1495,823,610,689,548,
120,1370,1468,824,732,773,683,
120,1343,1252,803,599,692,609,
120,1395,1315,563,635,755,592,
120,1388,1594,821,660,748,586,
120,1448,1395,1002,657,707,672,
120,1420,1252,780,686,729,669,
120,1329,1372,876,600,770,691,
120,1366,1183,684,607,726,602,
120,1401,1448,772,670,708,617,
120,1442,1116,762,692,703,605,
120,1453,1539,666,639,771,655,
120,1388,1413,732,648,719,589,
120,1488,1305,654,624,705,671,
120,1493,1482,720,631,743,693,
120,1476,1313,622,627,711,631,
120,1529,1427,540,634,753,716,
120,1667,1450,905,648,754,607,
120,1554,1449,955,677,733,624,
120,1354,1508,950,624,712,664,
120,1458,1379,580,674,769,595,
120,1362,1429,897,595,724,614,
120,1313,1412,921,580,781,578,
120,1365,1398,849,675,686,608,
120,1536,1572,687,615,774,670,
120,1337,1457,678,581,713,592,
