qiskit,shp_reduced,multiedge,qiskit_dense,mhs_nonlinear,merging_states
57,839,716,57,390,477
57,794,875,57,427,488
57,840,765,57,343,476
57,824,662,57,412,475
57,970,779,57,415,472
57,832,719,57,388,478
57,862,790,57,407,496
57,896,660,57,425,501
57,866,605,57,388,470
57,883,788,57,400,481
57,838,739,57,438,518
57,871,800,57,433,497
57,842,672,57,407,481
57,936,759,57,391,475
57,930,718,57,408,472
57,894,784,57,389,492
57,713,734,57,443,473
57,838,638,57,393,497
57,907,709,57,372,510
57,743,668,57,371,476
57,973,666,57,421,494
57,878,548,57,418,500
57,787,731,57,410,472
57,911,815,57,376,475
57,906,783,57,431,495
57,886,734,57,382,499
57,874,692,57,402,475
57,757,810,57,404,477
57,923,675,57,423,479
57,849,630,57,408,473
57,849,750,57,391,469
57,962,699,57,407,506
57,861,748,57,435,474
57,991,760,57,441,498
57,964,731,57,404,477
57,894,648,57,396,467
57,883,756,57,412,477
57,930,606,57,359,472
57,832,752,57,403,476
57,958,739,57,409,475
57,1039,651,57,439,499
57,859,876,57,406,497
57,936,665,57,388,474
57,848,789,57,362,495
57,891,798,57,406,495
57,844,826,57,418,474
57,1117,607,57,444,503
57,1066,738,57,419,500
57,792,800,57,394,493
57,985,682,57,427,507
57,868,860,57,404,474
57,1010,851,57,417,478
57,783,707,57,406,492
57,839,701,57,413,504
57,872,718,57,425,499
57,1000,665,57,401,480
57,893,658,57,406,476
57,898,649,57,377,490
57,1002,737,57,385,474
57,937,740,57,394,502
57,958,717,57,388,483
57,1085,706,57,400,476
57,919,611,57,393,478
57,787,794,57,395,499
57,884,564,57,399,528
57,807,712,57,413,471
57,891,740,57,387,472
57,765,621,57,408,477
57,899,687,57,346,471
57,899,620,57,425,471
57,1099,773,57,386,522
57,894,738,57,389,475
57,856,724,57,397,480
57,931,638,57,401,477
57,933,799,57,375,506
57,875,692,57,424,501
57,939,679,57,404,491
57,883,790,57,376,504
57,936,610,57,421,482
57,1017,846,57,443,507
57,808,621,57,393,470
57,869,804,57,427,500
57,943,861,57,421,494
57,851,594,57,384,504
57,767,780,57,390,502
57,866,723,57,382,504
57,923,704,57,422,476
57,988,764,57,444,496
