qiskit,shp_reduced,shp,random,random_reduced,mst,mst_reduced,linear,linear_reduced,graycode_reduced,qiskit_dense,multiedge_dense,multiedge
2036,104,3238,3273,165,3235,124,3268,169,122,137,330,121
2036,104,3236,3260,141,3227,105,3267,132,153,138,321,138
2036,103,3247,3263,139,3234,121,3259,135,120,124,341,133
2036,100,3244,3280,161,3240,120,3274,165,190,136,303,139
2036,121,3245,3261,169,3233,117,3267,162,151,150,346,136
2036,124,3249,3290,168,3240,109,3260,131,122,157,364,139
2036,125,3250,3259,225,3231,113,3254,132,135,125,341,129
2036,110,3242,3277,160,3237,118,3263,138,124,134,285,135
2036,124,3238,3261,196,3229,102,3260,135,125,129,321,119
2036,114,3248,3278,211,3235,121,3248,122,99,118,367,141
2036,119,3247,3264,171,3240,127,3266,142,139,153,362,136
2036,151,3238,3264,142,3228,111,3254,116,112,101,410,129
2036,112,3244,3271,172,3236,116,3271,150,129,122,387,155
2036,133,3235,3255,179,3227,115,3253,109,117,116,307,125
2036,99,3244,3276,166,3239,121,3257,115,124,125,363,127
2036,105,3239,3282,154,3237,96,3265,129,115,133,308,150
2036,121,3246,3274,167,3238,115,3269,152,100,158,340,124
2036,114,3251,3266,180,3243,109,3259,135,134,147,431,123
2036,109,3249,3265,170,3249,138,3271,149,156,150,347,167
2036,118,3253,3265,150,3243,118,3271,139,129,155,354,119
2036,94,3239,3249,188,3231,117,3257,153,104,107,325,133
2036,89,3236,3266,130,3232,97,3248,115,137,117,339,128
2036,106,3240,3280,196,3234,107,3249,116,126,136,356,134
2036,97,3237,3266,161,3227,128,3262,131,153,121,409,142
2036,99,3239,3264,196,3235,98,3256,140,146,114,350,142
2036,141,3246,3285,171,3239,112,3272,149,129,107,325,129
2036,88,3237,3256,124,3234,89,3262,135,102,126,345,155
2036,91,3235,3268,219,3227,103,3274,150,99,112,368,135
2036,126,3245,3265,162,3244,112,3270,135,121,161,332,134
2036,123,3247,3272,166,3235,116,3274,132,124,141,336,154
2036,94,3240,3266,149,3231,126,3252,129,136,132,355,149
2036,108,3241,3271,186,3231,115,3268,123,144,129,349,116
