qiskit,shp_reduced,gleinig,greedy_linear
120,2328,1175,2231
120,2167,1247,1963
120,2501,1226,1789
120,2386,1213,2186
120,2038,1207,1989
120,2284,1267,2099
120,2463,1154,2090
120,2179,1183,2003
120,2293,1237,2093
120,2451,1289,2115
120,2332,1217,1719
120,2424,1236,2050
120,2452,1211,1962
120,1971,1203,1917
120,2408,1204,2064
120,2391,1170,2004
120,2220,1214,1844
120,2396,1296,2007
120,2291,1275,1980
120,2268,1273,2118
120,2457,1206,1952
120,2391,1202,1957
120,2140,1304,2012
120,2194,1158,2208
120,2661,1279,1948
120,2524,1189,2110
120,2223,1253,2226
120,2056,1146,1859
120,2137,1202,2006
120,2457,1198,2102
120,2105,1174,1686
120,2142,1335,1977
120,2373,1155,2178
120,2354,1223,1903
120,2315,1217,2108
120,2203,1220,2012
120,2316,1225,1882
120,2209,1219,2119
120,2196,1229,2020
120,2180,1227,1979
120,2225,1220,2325
120,1954,1280,2076
120,2558,1226,2010
120,2311,1205,2214
120,2161,1207,2107
120,2413,1208,2131
120,2181,1170,2147
120,2484,1214,2016
120,2548,1217,1929
120,2334,1206,1964
120,2091,1255,2014
120,2320,1232,2138
120,1981,1261,1995
120,2265,1184,1934
120,2395,1263,2089
120,2401,1198,1837
120,2314,1176,1979
120,2178,1180,2227
120,2128,1254,2079
120,2050,1177,2146
120,2095,1229,2298
120,2018,1204,1861
120,2256,1179,2057
120,2277,1184,1999
120,2332,1204,1873
120,2224,1272,2148
120,2306,1248,1883
120,2205,1235,1882
120,2175,1197,1932
120,2046,1203,1818
120,2199,1204,2012
120,2072,1226,2004
120,2186,1252,2189
120,2129,1174,2068
120,2207,1248,2183
120,2012,1228,2117
120,1952,1202,1888
120,2201,1233,1899
120,2317,1191,1887
120,2364,1225,2263
120,2369,1188,2083
120,2274,1268,2174
120,2372,1226,1887
120,2375,1289,2309
120,2364,1215,1966
120,2131,1285,1946
120,2004,1213,1886
120,2419,1168,2104
120,2577,1249,2003
120,2164,1180,1994
120,2479,1257,1978
120,2296,1254,2120
120,2149,1181,1908
120,2169,1250,2247
120,2340,1272,2189
120,2391,1223,1919
120,2411,1160,1895
120,2468,1181,2069
120,2342,1297,2286
120,2140,1234,1862
120,2046,1173,2220
120,2315,1279,2215
120,2330,1205,2057
120,2262,1199,1998
120,2291,1180,1901
120,2090,1232,2070
120,2332,1288,2011
120,2201,1174,2075
120,2161,1225,2190
120,2007,1187,2262
120,2389,1232,2030
120,2091,1203,1896
120,2283,1203,2092
120,1982,1187,2193
120,2275,1258,2004
120,2325,1143,1897
120,2205,1204,1907
120,2111,1180,1815
120,2293,1201,2096
120,2022,1229,1964
120,2165,1170,1964
120,2182,1153,1707
120,2359,1227,1962
120,1819,1184,2082
120,2186,1184,2211
120,2251,1240,2034
120,2144,1183,2128
120,2021,1203,2240
120,2418,1208,1981
120,2047,1222,1828
120,2317,1187,1859
120,2121,1182,2085
120,2151,1232,2053
120,2121,1272,2152
120,2132,1182,2172
120,2311,1294,2143
120,2056,1209,1981
120,2313,1238,1913
120,2194,1206,1958
120,2017,1278,2227
120,2273,1275,1970
120,2535,1282,2111
120,2160,1198,1987
120,2232,1216,1995
120,2250,1225,2010
120,2046,1266,1945
120,2038,1249,2027
120,2217,1197,2139
120,2224,1198,2006
120,2081,1184,1885
120,2272,1175,2166
120,2389,1161,2085
120,2132,1200,1880
120,2452,1201,2055
120,1962,1229,2058
120,2348,1187,2143
120,2264,1183,1857
120,2345,1255,1861
120,2028,1175,1898
120,2338,1191,1995
120,1989,1207,1996
120,2295,1304,2139
120,2246,1282,2083
120,2088,1177,1979
120,2358,1252,1789
120,2154,1135,2054
120,2365,1257,2101
120,2265,1238,2058
120,2170,1279,2057
120,2422,1257,1919
120,2357,1158,2006
120,2517,1157,2154
120,2106,1179,2006
120,2279,1214,1977
120,2128,1256,2184
120,2268,1190,1921
120,1802,1223,2107
120,2134,1222,1895
120,2120,1225,1918
120,2178,1205,2081
120,2229,1163,2089
120,2242,1234,2025
120,2281,1249,1935
120,2321,1225,2003
120,2144,1199,1963
120,2204,1262,2123
120,2368,1212,2211
120,2242,1156,2057
120,2291,1225,2233
120,2399,1206,1985
120,2116,1292,2057
120,2093,1246,2086
120,2114,1201,1965
120,2212,1237,1878
120,2404,1284,2043
120,2338,1228,1982
120,2221,1254,1981
120,2352,1198,2409
120,2563,1098,2226
120,2104,1235,2076
120,2478,1270,2070
120,2190,1200,1966
120,1832,1276,1933
120,2395,1178,1939
120,2032,1283,2074
120,2388,1281,1998
120,2567,1179,2279
120,2411,1236,1689
120,2484,1251,2174
120,2068,1204,1864
120,2316,1186,1989
120,2082,1226,1947
120,2470,1202,1939
120,2289,1236,1864
120,2184,1180,1839
120,2176,1222,2139
120,2306,1225,1895
120,2200,1232,1698
120,2358,1198,1895
120,2145,1306,1991
120,2148,1250,2090
120,2347,1177,2103
120,2490,1247,1988
120,2194,1210,2037
120,2346,1246,2159
120,2108,1294,2044
120,2551,1251,2043
120,2061,1206,2138
120,2398,1217,1831
120,1925,1234,1870
120,2238,1293,2094
120,2130,1182,1888
120,2364,1220,2015
120,2380,1173,2068
120,2205,1195,1900
120,2283,1337,2026
120,2260,1276,1956
120,2455,1174,2127
120,2169,1151,1999
120,2150,1229,1981
120,2289,1302,1894
120,2039,1272,2048
120,2447,1177,2107
120,2145,1183,2027
120,2135,1231,1963
120,2306,1219,2139
120,2359,1266,1876
120,2418,1203,2028
120,2490,1221,2060
120,2121,1261,1790
120,2358,1175,2084
120,2480,1303,1953
120,1928,1222,1843
120,2133,1227,2119
120,2166,1180,2052
120,2054,1258,2214
120,2255,1170,1873
120,2243,1246,2122
120,2284,1252,1880
120,2370,1178,1920
120,2189,1209,1972
120,2148,1203,2068
120,2095,1205,2085
120,2359,1247,2168
120,2291,1236,1957
120,2298,1280,2187
120,2258,1274,2014
120,2016,1208,1952
120,2317,1228,1966
120,2108,1224,2055
120,2120,1257,2017
120,2577,1159,2118
120,2342,1172,2114
120,2303,1157,1978
120,2399,1228,2015
120,2482,1281,1944
120,2166,1187,2075
120,2283,1262,2183
120,2133,1203,2106
120,2301,1188,2218
120,2459,1247,2046
120,2178,1180,2018
120,1890,1189,2012
120,2272,1277,2056
120,2224,1280,1960
120,1974,1210,2058
120,2219,1288,1957
120,2298,1261,2270
120,2456,1172,1930
120,2366,1171,2196
120,2264,1210,1964
120,2099,1208,1828
120,2240,1150,2197
